CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
395	455	9	0.7109	-152.120
395	468	9	0.7445	-154.136
385	400	9	0.7953	-28.031
400	455	9	0.8133	-126.104
400	468	9	0.7647	-128.120
400	471	9	0.8721	-154.136
400	477	9	0.8656	-180.151
400	493	9	0.8315	-182.167
379	401	9	0.7787	-28.031
385	471	9	0.7243	-182.167
455	471	9	0.8664	-28.031
468	471	9	0.782	-26.016
471	477	9	0.8481	-26.016
471	493	9	0.8141	-28.031
455	468	9	0.8561	-2.016
468	493	9	0.7722	-54.047
455	477	9	0.7419	-54.047
477	493	9	0.788	-2.016
455	493	9	0.8233	-56.063
385	405	9	0.7148	-28.031
385	455	9	0.7074	-154.136
480	515	10	0.7316	-148.037
506	515	10	0.7065	-74.019
480	506	10	0.8055	-74.019
109	485	12	0.9217	-606.486
392	470	12	0.9477	-154.136
453	470	12	0.9617	108.094
457	470	12	0.9476	-2.016
470	476	12	0.9564	-110.109
470	483	12	0.9495	-52.031
470	497	12	0.9601	-28.031
470	504	12	0.9525	-80.063
330	371	12	0.9379	-56.063
330	392	12	0.9554	-84.094
353	392	12	0.9554	-56.063
380	392	12	0.9591	-2.015
392	403	12	0.9669	-26.016
109	460	12	0.9483	-574.496
330	361	12	0.9357	-54.047
380	483	12	0.9617	-208.182
403	483	12	0.9633	-180.151
453	483	12	0.9628	56.063
460	483	12	0.9593	56.063
474	483	12	0.9776	-26.015
476	483	12	0.9668	58.078
483	497	12	0.9602	24.000
483	503	12	0.9782	-2.016
483	504	12	0.9745	-28.032
330	353	12	0.9668	-28.031
353	380	12	0.9641	-54.047
353	403	12	0.9659	-82.079
353	497	12	0.9481	-238.230
433	460	12	0.9538	-0.000
460	474	12	0.9641	82.078
460	476	12	0.9597	-2.015
460	503	12	0.9632	54.047
460	504	12	0.9529	28.031
380	476	12	0.9583	-266.260
403	476	12	0.96	-238.229
433	476	12	0.9582	-2.015
453	476	12	0.9638	-2.015
474	476	12	0.9698	-84.093
476	503	12	0.9704	56.062
476	504	12	0.9699	30.046
380	504	12	0.9781	-236.214
403	504	12	0.9613	-208.182
453	504	12	0.965	28.031
474	504	12	0.9899	-54.047
497	504	12	0.9589	-52.031
503	504	12	0.9834	-26.016
330	380	12	0.9507	-82.079
330	403	12	0.9601	-110.110
380	403	12	0.9681	-28.031
380	474	12	0.9785	-182.167
380	497	12	0.95	-184.183
380	503	12	0.9736	-210.198
453	457	12	0.9483	110.109
453	474	12	0.9608	82.078
453	497	12	0.9574	80.062
453	503	12	0.9591	54.047
403	474	12	0.9612	-154.135
457	474	12	0.9532	-28.031
474	497	12	0.9584	-2.016
474	503	12	0.9898	-28.031
403	497	12	0.9572	-156.151
403	503	12	0.9655	-182.167
457	503	12	0.9522	-56.062
497	503	12	0.9544	-26.015
434	466	13	0.7764	-114.105
441	466	13	0.7536	-114.105
434	438	13	0.7233	32.953
438	487	13	0.8775	-56.063
423	441	13	0.7485	62.089
434	441	13	0.8698	0.000
435	441	13	0.7599	144.079
441	458	13	0.7719	-96.094
441	467	13	0.7631	-62.089
441	487	13	0.7242	-23.110
434	487	13	0.7288	-23.110
458	520	13	0.7729	-148.192
423	467	13	0.8878	0.000
434	467	13	0.7293	-62.089
458	463	13	0.728	36.021
423	434	13	0.7548	62.089
434	435	13	0.794	-144.079
434	458	13	0.7512	-96.094
23	82	14	0.9841	-0.000
81	82	14	0.8884	0.034
82	105	14	0.8994	-17.980
23	81	14	0.9112	-0.034
23	105	14	0.888	-17.980
120	144	15	0.9184	0.000
144	183	15	0.9196	-0.000
144	511	15	0.8695	-1.008
144	513	15	0.9051	-1.008
144	516	15	0.8802	-1.008
144	517	15	0.798	-54.034
144	524	15	0.8679	-1.008
144	527	15	0.8786	-1.008
120	183	15	0.9399	-0.000
120	490	15	0.7456	-31.042
120	496	15	0.7649	-31.042
120	511	15	0.8499	-1.008
120	513	15	0.8715	-1.008
120	516	15	0.8922	-1.008
120	517	15	0.7905	-54.034
120	524	15	0.8535	-1.008
120	527	15	0.8743	-1.008
59	514	15	0.7408	-30.189
355	488	15	0.7677	171.187
488	491	15	0.9226	0.000
488	509	15	0.8439	0.000
488	519	15	0.8545	0.000
488	523	15	0.7891	-9.948
16	19	15	0.7935	-202.912
17	19	15	0.841	-129.958
18	19	15	0.8782	-113.980
19	29	15	0.7409	225.928
19	38	15	0.7635	175.951
490	492	15	0.9261	0.000
492	494	15	0.7746	2.016
492	496	15	0.9411	0.000
492	510	15	0.9304	0.000
492	512	15	0.9271	0.000
492	514	15	0.9243	0.000
492	517	15	0.7877	-22.992
492	518	15	0.9239	0.000
495	509	15	0.8415	0.000
495	519	15	0.8601	0.000
495	523	15	0.768	-9.948
355	519	15	0.781	171.187
491	519	15	0.8829	0.000
509	519	15	0.8467	0.000
519	523	15	0.835	-9.948
490	514	15	0.9415	0.000
494	514	15	0.8055	-2.016
496	514	15	0.9495	0.000
510	514	15	0.9339	0.000
512	514	15	0.9285	0.000
514	518	15	0.9404	0.000
183	496	15	0.7733	-31.042
490	496	15	0.9459	0.000
494	496	15	0.8103	-2.016
496	510	15	0.9529	0.000
496	512	15	0.9476	0.000
496	517	15	0.8001	-22.992
496	518	15	0.9497	0.000
4	5	15	0.7774	41.026
5	8	15	0.7857	-23.016
7	10	15	0.8305	72.954
10	28	15	0.9484	-41.026
10	524	15	0.7657	2.907
183	511	15	0.8437	-1.008
511	513	15	0.8903	0.000
511	516	15	0.881	0.000
511	524	15	0.8503	0.000
511	527	15	0.8247	0.000
16	17	15	0.9327	-72.954
17	18	15	0.9697	-15.978
17	21	15	0.7873	113.980
17	29	15	0.88	95.970
17	38	15	0.7778	45.993
4	16	15	0.7416	-13.945
6	16	15	0.8542	-15.977
16	18	15	0.9348	-88.931
16	21	15	0.8543	41.026
16	29	15	0.9052	23.016
16	38	15	0.818	-26.961
183	518	15	0.746	-31.042
490	518	15	0.9081	0.000
494	518	15	0.7666	-2.016
510	518	15	0.937	0.000
512	518	15	0.9276	0.000
517	518	15	0.7702	22.992
18	38	15	0.8382	61.970
29	38	15	0.82	-49.977
490	512	15	0.934	0.000
494	512	15	0.808	-2.016
510	512	15	0.9383	0.000
512	517	15	0.7654	-22.992
490	510	15	0.9221	0.000
494	510	15	0.794	-2.016
510	517	15	0.7719	-22.992
2	6	15	0.849	-23.016
4	6	15	0.7433	2.033
6	7	15	0.8134	41.027
