"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"384_474.26_6.6",384,474.259285693762,6.625928,"C21H42NO7P"
"385_452.28_6.6",385,452.277363888887,6.626161,"C21H42NO7P"
"386_502.29_6.6",386,502.290363441544,6.641752,"C23H46NO7P"
"387_480.31_6.6",387,480.30871920522,6.647311,"C23H46NO7P"
"388_516.31_6.7",388,516.306173698278,6.6556077,"C24H48NO7P"
"389_494.32_6.7",389,494.324342781108,6.656532,"C24H48NO7P"
"39_156.04_0.5",39,156.042163436836,0.46650687,"C5H11NO2"
"390_480.31_6.8",390,480.30867578996,6.753544,"C23H46NO7P"
"391_395.36_6.8",391,395.363281847004,6.816845,"C24H46N2O2"
"392_496.34_7",392,496.33990065618,6.9502935,"C24H50NO7P"
"393_140.07_7",393,140.06823903679,7.036026,NA
"394_476.27_7",394,476.274933969179,7.038642,"C21H44NO7P"
"395_454.29_7",395,454.292995721185,7.0396805,"C21H44NO7P"
"396_518.32_7.1",396,518.321869520747,7.070894,"C24H50NO7P"
"397_496.34_7.1",397,496.339922075099,7.072333,"C24H50NO7P"
"398_140.07_7.1",398,140.068225087884,7.111668,NA
"4_242_0.4",4,241.999591998113,0.4136186,"C6H9N3O3S"
"40_197.1_0.5",40,197.100974106442,0.47442687,"C6H14N4O2"
"400_480.31_7.1",400,480.30870594491,7.14405,"C23H46NO7P"
"401_502.29_7.1",401,502.290417387399,7.1441607,"C23H46NO7P"
"402_325.2_7.2",402,325.200894704686,7.162126,"C18H30O6"
"403_522.36_7.2",403,522.355927465931,7.175928,"C26H52NO7P"
"404_544.34_7.2",404,544.337445197025,7.176483,"C26H52NO7P"
"405_480.31_7.3",405,480.308683677819,7.2526507,"C23H46NO7P"
"406_522.36_7.3",406,522.35570876954,7.279509,"C26H52NO7P"
"407_508.34_7.3",407,508.340048000673,7.2932715,"C25H50NO7P"
"408_235.17_7.5",408,235.169284819059,7.4521923,"C15H22O2"
"409_267.17_7.5",409,267.171958090991,7.454288,"C12H27O4P"
"410_249.18_7.5",410,249.184950818857,7.4771695,"C16H24O2"
"411_524.37_7.7",411,524.371378831048,7.7069964,"C26H54NO7P"
"412_298.27_7.7",412,298.274081580122,7.709856,"C18H35NO2"
"413_281.17_7.8",413,281.1723362428,7.7865887,NA
"414_259.19_7.8",414,259.190454657976,7.786967,"C14H26O4"
"415_467.31_7.9",415,467.313581437069,7.882687,NA
"416_279.16_7.9",416,279.159128764693,7.9270515,"C16H22O4"
"417_149.02_7.9",417,149.023392190108,7.9277277,"C8H4O3"
"418_205.09_7.9",418,205.086027616745,7.9305,"C12H14O4"
"419_483.31_8",419,483.309167305856,7.9914694,NA
"42_185.07_0.5",42,185.068704313257,0.4799024,"C6H14N2O2"
"420_371.1_8.2",420,371.101374708596,8.199013,"C14H18N4O6S"
"421_526.43_8.4",421,526.431598652533,8.412181,"C28H57N5O5"
"422_482.41_8.4",422,482.405343913979,8.449812,NA
"423_377.32_8.5",423,377.320753290709,8.455139,"C28H42O"
"424_438.38_8.5",424,438.379046285946,8.486987,NA
"425_394.35_8.5",425,394.352758577548,8.523284,"C20H45N5O"
"426_523.25_8.6",426,523.245861152851,8.623812,NA
"427_502.32_8.6",427,502.316497689512,8.62424,NA
"428_485.29_8.6",428,485.289917823598,8.6249895,"C29H42O7"
"429_530.35_8.6",429,530.347831565126,8.625099,"C29H49NO6"
"43_207.05_0.5",43,207.050650057253,0.48142168,NA
"430_507.27_8.6",430,507.271908020542,8.625376,NA
"431_140.07_8.7",431,140.068242535,8.714513,NA
"432_780.55_8.7",432,780.551339889662,8.714805,NA
"433_758.57_8.7",433,758.569377115223,8.715092,"C42H80NO8P"
