formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C8H13NO3	[M - H2O + H]+	C8H12NO2+	0.448	0.333	111.587	111.587	0.000	14	0.354	-0.290	6.061	-116883.098		154.087	116	1.929	695994794024705716	695994645324040404	67	
1	C5H11FO4	[M - H2O + H]+	C5H10FO3+	0.946	0.500	49.772	49.744	0.029	7	0.249	-3.849	6.107	-131409.977		137.060	116	1.929	695994796562259757	695994645353400536	68	
1	C10H8O2	[M + H3N + H]+	C10H12NO2+	1.000	0.333	66.963	64.473	2.489	3	0.484	2.732	2.732	1.769		178.087	116	1.932	695994786021972904	695994645391149276	69	
1	C5H7FO2	[M + H3N + H]+	C5H11FNO2+	0.793	0.333	70.412	69.584	0.828	5	0.385	-6.662	7.089	-4.654		136.076	116	1.933	695994773241927498	695994645424703712	70	
1	C14H29NO4	[M + Na]+	C14H29NNaO4+	1.000	1.000	175.861	175.443	0.419	28	0.660	-0.551	3.481	8.387		298.201	116	1.934	695994787733249162	695994645458258148	71	
1	C24H38N2O5	[M + Na]+	C24H38N2NaO5+	0.871	0.742	60.052	57.110	2.943	20	0.802	-1.734	2.851	-3.265		457.266	116	1.939	695994805206721392	695994645537949932	73	
1	C12H26FN7O2	[M + Na]+	C12H26FN7NaO2+	0.456	0.492	50.607	49.891	0.716	22	0.362	-1.438	2.534	0.403		342.203	116	1.939	695994818724964066	695994645500201192	72	
1	C12H24O3	[M + H3N + H]+	C12H28NO3+	0.813	0.500	57.498	52.805	4.693	12	0.846	3.050	3.050	2.049		234.207	116	1.941	695994772516312777	695994645579892976	74	
1	C15H28N2O8	[M - H2O + H]+	C15H27N2O7+	0.617	0.331	48.256	45.655	2.601	17	0.712	1.351	2.100	-51876.082		347.181	117	1.947	695994782511340145	695994645617641716	75	
1	C18H31NO5	[M - H2O + H]+	C18H30NO4+	0.690	0.275	97.129	93.962	3.168	23	0.312	-0.527	3.615	-55550.235		324.217	117	1.954	695994783476030097	695994645647001848	76	
1	C14H26N2O7	[M - H2O + H]+	C14H25N2O6+	1.000	0.333	132.397	132.397	0.000	39	0.787	3.754	4.119	-56782.892		317.171	118	1.958	695994785371855730	695994645684750588	77	
1	C9H14ClN2O4	[M - H2O + H]+	C9H13ClN2O3+	0.819	0.005	20.975	20.975	0.000	8	0.334	1.348	1.951	-77613.507		232.060	119	1.983	695994804376249166	695994645718305024	78	
1	C10H14O3	[M + H3N + H]+	C10H18NO3+	0.904	0.333	133.617	131.673	1.944	26	0.760	0.648	3.154	2.149		200.129	120	1.996	695994797979934690	695994645751859460	79	
1	C8H14O2	[M - H2O + H]+	C8H13O+	1.000	0.500	12.725	12.725	0.000	1	0.057	2.516	2.516	-143970.104		125.097	120	1.997	695994772163991231	695994645814774028	81	
1	C2H7NO3	[M - H2O + H]+	C2H6NO2+	1.000	0.333	0.949	0.949	0.000	0	0.000	1.633	1.633	-236853.329		76.040	120	1.997	695994788194622682	695994645785413896	80	
1	C5H11NO3	[M - H2O + H]+	C5H10NO2+	1.000	0.333	31.130	31.130	0.000	3	0.564	1.384	1.384	-155166.803		116.071	120	1.998	695994772520507092	695994645873494292	83	
1	C5H13NO4	[M - H2O + H]+	C5H12NO3+	1.000	0.333	70.469	70.469	0.000	8	0.754	3.008	3.008	-134323.037		134.082	120	1.998	695994784881122142	695994645902854424	84	
1	C4H11NO2	[M + H]+	C4H12NO2+	1.000	0.500	35.495	35.495	0.000	3	0.584	2.254	3.541	3.346		106.087	120	1.998	695994786625952791	695994645839939856	82	
1	C18H33NO5	[M - H2O + H]+	C18H32NO4+	0.896	0.333	168.693	165.649	3.044	29	0.444	0.367	2.964	-55207.565		326.233	120	2.002	695994786621758469	695994645936408860	85	
1	C13H33BN3O5	[M + Na]+	C13H33BN3NaO5+	0.920	0.934	192.463	192.463	0.000	45	0.807	2.536	4.239	-3.424		344.243	120	2.002	695994790518267284	695994645974157600	86	
1	C18H35NO6	[M + H]+	C18H36NO6+	0.681	0.333	145.182	142.675	2.507	36	0.814	0.459	2.754	0.761		362.254	120	2.002	695994801566065087	695994646016100644	87	
1	C10H11NO4	[M - H2O + H]+	C10H10NO3+	0.996	0.333	145.485	145.485	0.000	20	0.471	2.293	4.772	-93772.339		192.066	120	2.003	695994798726520893	695994646049655080	88	
